seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
37,AWSGLD,337.9194965530098,1.0081702151932177,0.31502670706588254,0.009962019181108487,0.8747957027957027,0.861878453038674,0.8873405211243409,1.984085645369099,0.9517108534722811,0.6851246356964111
38,SGLD,617.8371950309237,294.37712722520104,8.138499862263116,0.2573619630171808,0.04608033408033409,0.5901926444833625,0.6002846605076717,2.929489197434499,0.5404373793165387,0.2960383892059326
38,qSGLD,325.16015046434427,1.7000826586216249,0.39759005402256614,0.012572901457406999,0.8230803070803072,0.8704028021015762,0.892325566721684,2.1977875788654075,0.9404186006637847,0.528770923614502
38,cycSGLD,329.811299046849,6.3512312411263565,3.7335958362139174,0.11806666704956952,0.6563749883749884,0.8231173380035026,0.8378723886682178,2.1110779417588956,0.8669287513420614,0.29462146759033203
38,SGHMC,343.3213126326613,19.861244826938673,5.415574404063111,0.17125549954948457,0.09456631056631057,0.6234676007005254,0.6456105608442048,2.386712508918202,0.5881555688911205,0.2985846996307373
38,AWSGLD,324.4606072539233,1.000539448200641,0.3150933792113725,0.009964127539470867,0.8367914847914848,0.8704028021015762,0.8930428880424071,2.1582968270305036,0.9448315840610061,0.7035841941833496
39,SGLD,623.9074591945234,290.1092318691784,7.946945314570943,0.2513044763484747,0.15565537165537166,0.6147110332749562,0.6224260969328609,2.599613033832574,0.5688707089757878,0.29320549964904785
39,qSGLD,335.4875827899104,1.6893554645653808,0.39875738260331495,0.01260981562833678,0.8415575415575417,0.851138353765324,0.87676241714454,2.0967969343126724,0.9281512416363555,0.5021636486053467
39,cycSGLD,339.45690041715125,5.658673091806236,3.621965469814522,0.11453660491095731,0.8212177012177013,0.8546409807355516,0.8755398118917688,1.8018565478470203,0.9237872460289273,0.29577088356018066
39,SGHMC,351.6287268910249,17.830499565679872,5.194389998443033,0.16426103450278468,0.6626050346050347,0.7880910683012259,0.8157506605106878,1.9144501857677183,0.8423777040239389,0.29895639419555664
39,AWSGLD,334.79874988494385,1.000522559598835,0.30930397154425215,0.009781050394157446,0.8431559191559193,0.8546409807355516,0.8793365368521698,2.0999409270570113,0.9301189178597234,0.7014927864074707
